date,code,name,industry,close,shares
2025-01-02,600519,贵州茅台,食品饮料,1520.00,200
2025-01-02,000858,五粮液,食品饮料,142.30,1500
2025-01-02,601318,中国平安,非银金融,48.20,5000
2025-01-02,600036,招商银行,银行,35.60,8000
2025-01-02,300750,宁德时代,电力设备,182.40,1200
2025-01-02,002594,比亚迪,汽车,245.10,900
2025-02-03,600519,贵州茅台,食品饮料,1488.50,200
2025-02-03,000858,五粮液,食品饮料,138.90,1500
2025-02-03,601318,中国平安,非银金融,50.10,5000
2025-02-03,600036,招商银行,银行,36.85,8000
2025-02-03,300750,宁德时代,电力设备,175.20,1200
2025-02-03,002594,比亚迪,汽车,262.30,900
2025-03-03,600519,贵州茅台,食品饮料,1602.00,200
2025-03-03,000858,五粮液,食品饮料,151.20,1500
2025-03-03,601318,中国平安,非银金融,47.55,5000
2025-03-03,600036,招商银行,银行,38.10,8000
2025-03-03,300750,宁德时代,电力设备,198.60,1200
2025-03-03,002594,比亚迪,汽车,251.80,900
2025-04-01,600519,贵州茅台,食品饮料,1555.30,200
2025-04-01,000858,五粮液,食品饮料,145.60,1500
2025-04-01,601318,中国平安,非银金融,51.30,5000
2025-04-01,600036,招商银行,银行,37.40,8000
2025-04-01,300750,宁德时代,电力设备,210.50,1200
2025-04-01,002594,比亚迪,汽车,278.90,900
2025-05-06,600519,贵州茅台,食品饮料,1620.80,200
2025-05-06,000858,五粮液,食品饮料,158.40,1500
2025-05-06,601318,中国平安,非银金融,49.80,5000
2025-05-06,600036,招商银行,银行,39.25,8000
2025-05-06,300750,宁德时代,电力设备,192.30,1200
2025-05-06,002594,比亚迪,汽车,265.40,900
2025-06-03,600519,贵州茅台,食品饮料,1498.60,200
2025-06-03,000858,五粮液,食品饮料,149.80,1500
2025-06-03,601318,中国平安,非银金融,52.60,5000
2025-06-03,600036,招商银行,银行,40.10,8000
2025-06-03,300750,宁德时代,电力设备,225.70,1200
2025-06-03,002594,比亚迪,汽车,289.50,900
2025-07-01,600519,贵州茅台,食品饮料,1575.20,200
2025-07-01,000858,五粮液,食品饮料,,1500
2025-07-01,601318,中国平安,非银金融,53.40,5000
2025-07-01,600036,招商银行,银行,41.30,8000
2025-07-01,300750,宁德时代,电力设备,238.90,1200
2025-07-01,002594,比亚迪,汽车,295.60,900
